country,country_iso3,people_in_need,people_targeted,requirements,funding,year
Syrian Arab Republic,,28823714,32589443,11668365156,3496343019,2023
Syrian Arab Republic,,16661471,10752647,4074158710,1200912868,2024
Syrian Arab Republic,,16471143,10301201,3186585280,1033003264,2025
Syrian Arab Republic,,31812704,18865035,5990721613,,2026
The Horn of Africa to Yemen and Southern Africa,,1682194,1197958,91140365,,2026
Türkiye,TUR,,5200000,1006545000,538351094,2023
Uganda,UGA,2225443,2225443,828700000,,2026
Ukraine,,21604676,15167273,5631151941,2894483713,2023
Ukraine,,16797301,10655502,4188262931,2284842805,2024
Ukraine,,14835066,8142566,3323847073,1459314366,2025
Ukraine,,10800000,4120000,2310000000,,2026
Venezuela,,16179814,8624246,2434623880,675053926,2023
Venezuela,,16260421,8031729,2204463795,656534283,2024
Venezuela,,15102954,7469367,2002304620,229072072,2025
Venezuela,,14753248,6924936,1369092350,,2026
Viet Nam,VNM,570000,300000,31716788,8546340,2024
Viet Nam,VNM,1835981,865395,72255405,10384139,2025
Viet Nam,VNM,812000,406000,22801225,,2026
Yemen,,21640000,17370435,4344155316,1610359107,2023
Yemen,,18182658,11233519,2705762394,1280899544,2024
Yemen,,19540217,10527030,2478772922,687912006,2025
Yemen,,23100000,10500000,2470000000,,2026
Zambia,ZMB,6552028,4577136,228265458,39822613,2024
Zambia,ZMB,5471773,3280157,90919034,18880640,2025
Zimbabwe,ZWE,7611301,3063939,286191117,92380220,2024
Zimbabwe,ZWE,7611301,3063939,143095554,20900293,2025
